year,EU_inflation_rate
1960,1.741180456
1961,1.870849614
1962,2.752672133
1963,2.921641663
1964,3.656731016
1965,3.666482803
1966,3.432369175
1967,2.987546067
1968,3.242828877
1969,2.648085711
1970,4.1406484
1971,5.016319277
1972,5.906253517
1973,7.91554615
1974,14.66484544
1975,12.22706292
1976,9.711421109
1977,9.767464736
1978,7.573712239
1979,8.465334904
1980,13.54006971
1981,11.50975584
1982,9.584927647
1983,8.669271598
1984,7.067656383
1985,5.195621954
1986,2.538525918
1987,3.159407641
1988,2.700815275
1989,3.765480483
1990,3.44831218
1991,4.047036816
1992,5.163784654
1993,4.569071737
1994,4.129921816
1995,4.222816141
1996,2.978924865
1997,2.109245627
1998,2.227707327
1999,1.66345995
2000,2.853030393
2001,2.785165427
2002,2.465323192
2003,2.098472191
2004,2.225679164
2005,2.487696652
2006,2.666314946
2007,2.453965281
2008,4.07534336
2009,0.368041998
2010,1.525516021
2011,3.289449396
2012,2.485675622
2013,1.219993423
2014,0.24104743
2015,0.037514381
2016,0.183334861
2017,1.381458714
2018,1.703497947
2019,1.445667015
2020,0.290554556
2021,2.446088672
